Skill Id,Skill Name,Task,2020 Automation Level,2008 Automation Level,Change from 2008 to 2020
2.A.2.b,Active Learning,Creative and Critical Thinking,0.410292314255206,0.426174905989092,-0.01588259173388601
1.A.2.c.2,Wrist-Finger Speed,Machine Control,0.546389936017079,0.548566245515652,-0.002176309498573059
1.A.1.c.2,Number Facility,Information Processing,0.586414630673911,0.576459708253506,0.009954922420404966
4.C.1.a.2.h,Electronic Mail,Communication,0.487913611880281,0.521616382561558,-0.03370277068127697
4.C.2.a.1.e,In an Open Vehicle or Equipment,Vehicle and Equipment Operation,0.49055145808413,0.483999058712512,0.006552399371618001
4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates",Management and Supervision,0.447351404910932,0.437057591129307,0.010293813781625027
4.C.2.c.1.c,Exposed to High Places,Vehicle and Equipment Operation,0.505673422187991,0.487172607884307,0.018500814303684054
4.A.1.b.2,"Inspecting Equipment, Structures, or Material",Machine Control,0.532932850631321,0.486357050667609,0.04657579996371203
1.A.4.a.6,Depth Perception,Vehicle and Equipment Operation,0.492618436084833,0.474552191419756,0.018066244665077003
4.C.1.d.3,Deal With Physically Aggressive People,Conflict Resolution,0.470448950915807,0.469566985833901,0.0008819650819060221
1.A.1.a.4,Written Expression,Communication,0.47284352336918,0.508666919130722,-0.03582339576154203
4.C.2.b.1.c,Extremely Bright or Inadequate Lighting,Vehicle and Equipment Operation,0.479674455297287,0.471296364423875,0.008378090873411959
4.C.2.c.1.b,Exposed to Disease or Infections,Conflict Resolution,0.439633552534324,0.407843803575655,0.03178974895866904
2.B.3.g,Operation Monitoring,Routine Problem Solving,0.596147119778706,0.602883974137367,-0.006736854358661004
4.C.3.c.1,Level of Competition,Creative and Critical Thinking,0.460042799518362,0.469838483050289,-0.009795683531927002
4.C.2.d.1.h,Spend Time Bending or Twisting the Body,General Physical Task,0.463752127663962,0.462599878288164,0.001152249375797998
4.A.4.b.6,Provide Consultation and Advice to Others,Systems Analysis,0.431386123305694,0.425689567522032,0.005696555783661961
4.A.4.a.3,Communicating with Persons Outside Organization,Communication,0.432461800844423,0.439848402220377,-0.007386601375954038
1.A.2.b.1,Control Precision,Machine Control,0.550097116407543,0.522863123296878,0.02723399311066499
1.A.4.b.2,Auditory Attention,Routine Problem Solving,0.53341629691513,0.528705957635048,0.004710339280082021
1.A.1.b.1,Fluency of Ideas,Creative and Critical Thinking,0.393660427655524,0.412238352506293,-0.01857792485076898
1.A.2.a.2,Manual Dexterity,General Physical Task,0.503399667611279,0.482982045038084,0.02041762257319496
2.B.3.e,Programming,Communication,0.58875422781385,0.561772975647971,0.02698125216587899
4.A.1.a.2,"Monitor Processes, Materials, or Surroundings",Machine Control,0.553287853042865,0.523822128517168,0.029465724525696957
2.B.1.a,Social Perceptiveness,Interpersonal Task,0.417846735875154,0.395938577870954,0.021908158004199985
4.C.2.d.1.d,Spend Time Walking and Running,Dynamic Physical Task,0.502385503117651,0.482589035403154,0.019796467714496946
2.B.5.a,Time Management,Interpersonal Task,0.482416543473792,0.412983716472572,0.06943282700122
2.B.4.e,Judgment and Decision Making,Systems Analysis,0.451628191005767,0.445399454647303,0.006228736358463993
2.A.2.d,Monitoring,Creative and Critical Thinking,0.473531240750543,0.448540359631698,0.024990881118844954
1.A.3.b.1,Stamina,Dynamic Physical Task,0.445180900167513,0.428979791697405,0.016201108470107972
2.B.3.c,Equipment Selection,Equipment Maintenance,0.481593116624859,0.429209737264419,0.05238337936043996
2.B.4.h,Systems Evaluation,Systems Analysis,0.46016905045105,0.547334648678503,-0.08716559822745301
