,State,Metropolitan Areas,Automation Index,Race with the Machine,Communication,Managerial Task,Clerical Task,Equipment Maintenance,Race against the Machine,Information Processing,Perceptual Task,Equipment Operation,Operation Monitoring,Physical Task,Race ahead of the Machine,Strategic Thinking,Running a Different Race,Dynamic Physical Task,Hazardous Task,Group Task,Conflict Resolution,Creative Thinking,Changing the Course of a Race,Routine Task
0, AK,Anchorage,48.74174569,14.68405018,4.797894451,2.356080823,5.6576054000000005,1.8724695040000001,17.45300831,3.878498357,3.3490884010000004,3.2774207810000004,2.968700552,3.979300222,2.273592178,2.273592178,11.39460215,4.563005615,1.7148246109999998,1.4738033990000001,2.948120056,0.694848472,2.936492866,2.936492866
1, AK,Fairbanks,48.92205254,14.11766128,4.495997267,2.164507322,5.542382762000001,1.914773927,17.94549144,3.9508021639999997,3.3999830560000004,3.381434558,2.969688765,4.243582900000002,2.049912018,2.049912018,11.69549283,5.106398161,1.8176401480000002,1.4965301169999998,2.6511005340000002,0.62382387,3.113494971,3.113494971
2, AL,Anniston-Oxford-Jacksonville,48.60507581,13.01613222,4.271889309,2.157338586,4.348668021,2.238236301,18.98501836,3.179651807,3.858926675,4.264131814,2.84948837,4.8328196960000005,1.8014262419999998,1.8014262419999998,12.22825665,5.060880708,2.36416402,1.3236237659999999,2.908960717,0.570627435,2.574242345,2.574242345
3, AL,Auburn-Opelika,48.61300743,13.56901924,4.7300121189999995,2.307470919,4.753875304,1.7776609,17.86971685,3.445689567,2.954474687,3.7716443269999997,2.986055473,4.711852791,1.901154843,1.901154843,12.60623241,5.500687216,1.950728899,1.425269191,3.07706118,0.652485921,2.6668840869999997,2.6668840869999997
4, AL,Birmingham-Hoover,48.91649699,14.44806699,4.632111395,2.335070069,5.524763197,1.956122331,18.05989591,3.84408148,3.445850529,3.59875674,3.119366817,4.051840341,2.2455834390000002,2.2455834390000002,11.1463073,4.344606735,1.8910548530000002,1.355819766,2.8424912489999996,0.712334692,3.016643355,3.016643355
5, AL,Decatur,48.65003742,12.919589,4.203251636,2.213292652,4.336950384,2.166094329,19.23031025,3.378985316,3.9041862569999997,4.273108152,2.973911044,4.700119479,1.834570147,1.834570147,12.09586306,4.957151457,2.363381342,1.334602469,2.8230060139999997,0.6177217779999999,2.569704967,2.569704967
6, AL,Dothan,48.77108348,13.58187275,4.712312592,2.260209132,4.930652181,1.6786988440000001,18.40514717,3.608931438,3.451194957,3.8737912189999997,2.946904791,4.524324761,1.833619425,1.833619425,12.08932192,4.9745184689999995,1.949453151,1.42947648,3.093550278,0.642323541,2.8611222260000004,2.8611222260000004
7, AL,Florence-Muscle Shoals,48.662952000000004,13.21384615,4.697160048,2.109429061,4.71929428,1.68796276,18.4599875,3.4111140069999997,3.426304825,3.876578353,2.895582215,4.850408101,1.7679368640000002,1.7679368640000002,12.52436192,5.360520513,2.044046448,1.35419196,3.150363352,0.615239644,2.6968195739999996,2.6968195739999996
8, AL,Gadsden,48.52994463,13.44707607,4.965948725,2.220099051,4.7709305330000005,1.490097765,17.92862021,3.507594193,3.2188985910000003,3.6427314010000003,2.834673158,4.724722868,1.7713353109999999,1.7713353109999999,12.73837143,5.548810632,1.8507116940000001,1.431540489,3.304128953,0.6031796660000001,2.644541599,2.644541599
9, AL,Huntsville,49.00495079,14.98406022,4.358403689,2.3940649119999997,5.630495816,2.601095803,17.20957783,4.213922033,2.677994983,3.280053531,3.18101169,3.856595593,3.009033987,3.009033987,10.74532746,4.2178907180000005,1.686635695,1.424218372,2.600044706,0.816537966,3.05695129,3.05695129
