Job Code,Job Title,Job Family,Race ahead of the Machine,Race with the Machine,Race against the Machine,Running a Different Race
00-0000,AVERAGE,AVERAGE,-0.58816131,0.773300137,1.649506424,1.07789789
11-1011,Chief Executives,Management Occupations,-2.248079531,15.24872188,11.1949951,-1.585641216
11-1021,General and Operations Managers,Management Occupations,4.061195221,18.43458281,16.87304119,1.123691001
11-2011,Advertising and Promotions Managers,Management Occupations,-5.910448318,-14.04164735,-8.16137002,-3.107019496
11-2021,Marketing Managers,Management Occupations,7.937406281,4.327134794,11.09870476,1.929480712
11-2022,Sales Managers,Management Occupations,10.00496217,7.143744481,8.864771246,-1.410073293
11-2031,Public Relations and Fundraising Managers,Management Occupations,17.4464545,3.371799091,6.988226272,1.829884831
11-3011,Administrative Services Managers,Management Occupations,3.737727921,14.64922757,-0.139932555,-1.589942492
11-3021,Computer and Information Systems Managers,Management Occupations,7.592879758,5.460509812,-0.175569146,2.094975199
11-3031,Financial Managers,Management Occupations,5.577531477,12.52001941,-5.292558196,-1.975527085
11-3051,Industrial Production Managers,Management Occupations,10.91576635,8.265272243,9.871259795,1.610437894
11-3061,Purchasing Managers,Management Occupations,-7.817390171,-0.418024055,5.215773349,-15.25820601
11-3071,"Transportation, Storage, and Distribution Managers",Management Occupations,15.74343836,14.35047972,17.54501608,4.472352049
11-3111,Compensation and Benefits Managers,Management Occupations,7.6361566,3.984785009,9.306054711,1.415011389
11-3131,Training and Development Managers,Management Occupations,10.38845641,11.56318114,11.38772097,0.865963727
11-9021,Construction Managers,Management Occupations,6.675701232,2.388530487,6.971771664,-2.73610816
11-9031,"Education Administrators, Preschool and Childcare Center/Program",Management Occupations,7.927392367,-2.176272968,6.897772253,1.106697701
11-9032,"Education Administrators, Elementary and Secondary School",Management Occupations,14.00526397,8.154718031,5.210245836,2.618461854
11-9033,"Education Administrators, Postsecondary",Management Occupations,-0.604301991,-3.144821493,-3.156219732,0.291422219
11-9041,Architectural and Engineering Managers,Management Occupations,3.886407721,-2.888499566,5.782536243,1.481736389
11-9051,Food Service Managers,Management Occupations,-9.655817887,-10.4137446,-0.973732435,-1.733926939
11-9071,Gaming Managers,Management Occupations,-0.951496577,2.918457969,-3.283490621,-1.112251953
11-9081,Lodging Managers,Management Occupations,17.4912906,18.21908026,12.37640217,5.779663397
11-9111,Medical and Health Services Managers,Management Occupations,13.17961938,4.542570678,2.130141549,-1.17092205
11-9121,Natural Sciences Managers,Management Occupations,19.14243105,11.44062593,11.35637237,-0.369484219
