,State,Metropolitan Areas,Automation Index,Race with the Machine,Communication,Managerial Task,Clerical Task,Equipment Maintenance,Race against the Machine,Information Processing,Perceptual Task,Equipment Operation,Operation Monitoring,Physical Task,Race ahead of the Machine,Strategic Thinking,Running a Different Race,Dynamic Physical Task,Hazardous Task,Group Task,Conflict Resolution,Creative Thinking,Changing the Course of a Race,Routine Task
0, AK,Anchorage,49.11409550000001,16.71500656,5.7498268470000005,2.970557631,6.182835235,1.811786847,15.58550904,3.567707291,2.731925558,2.998986375,2.552106793,3.734783022,2.413085692,2.413085692,11.632145199999998,4.162243631,1.489703604,1.677685351,3.69791241,0.604600206,2.768349002,2.768349002
1, AK,Fairbanks,49.03059806,16.66555622,5.723838288,2.9952609010000004,6.059287398,1.887169635,15.59795229,3.23988617,2.902269076,3.114014984,2.322955826,4.018826231,2.308755953,2.308755953,11.7568573,4.490485719,1.571074659,1.706746665,3.467173173,0.521377086,2.701476296,2.701476296
2, AL,Anniston-Oxford-Jacksonville,49.1291927,15.24394178,5.711491223,2.834688278,4.74988566,1.947876616,16.92227441,2.7715680110000003,3.1767987410000003,4.301546719,2.376628853,4.295732083,1.770009434,1.770009434,12.77176914,4.952407134,2.23411776,1.6778137780000002,3.463498602,0.443931869,2.421197939,2.421197939
3, AL,Auburn-Opelika,48.93454759,15.42890917,5.813952938,2.848087705,4.903974924,1.862893604,16.27444932,2.614802563,3.08655597,4.000824492,2.28432724,4.2879390530000006,1.915978979,1.915978979,12.91728453,5.08853431,2.014981227,1.681625057,3.62959064,0.502553299,2.39792559,2.39792559
4, AL,Birmingham-Hoover,49.28916739,16.70975624,5.688912038,2.8955040860000003,6.096072512,2.029267602,16.24866472,3.49165748,3.1015118210000003,3.552221205,2.537276464,3.565997754,2.3117006680000003,2.3117006680000003,11.24908743,3.974300991,1.78359831,1.534674826,3.348571712,0.607941586,2.769958332,2.769958332
5, AL,Decatur,49.00246862,14.9681366,5.443500678,2.538003796,4.679142027,2.307490099,17.37613298,2.744958684,3.849766912,4.188387908,2.418279424,4.174740049,1.729458879,1.729458879,12.58650857,4.892724914,2.302517182,1.570583226,3.360318802,0.460364448,2.342231591,2.342231591
6, AL,Dothan,49.10057869,15.90857651,6.187722506,2.631604149,5.24010416,1.849145691,16.51797781,2.877475867,3.50632906,3.902853855,2.310907919,3.920411111,1.7552985209999998,1.7552985209999998,12.38797159,4.668782328,1.841207785,1.591446336,3.786171246,0.500363896,2.53075426,2.53075426
7, AL,Florence-Muscle Shoals,49.16202779,15.74033726,5.798313971000002,2.688798091,5.215081547,2.038143648,16.70884554,2.73863337,3.390296774,4.183501177,2.334934412,4.061479807,1.7898911,1.7898911,12.36087289,4.710766045,2.068178977,1.596913554,3.511324993,0.473689325,2.562081002,2.562081002
8, AL,Gadsden,49.21010529,15.34803088,5.944733242000001,2.678167893,4.957982239,1.767147505,16.77099266,2.817998489,3.0382784430000003,4.284943298,2.296514756,4.333257671,1.52303134,1.52303134,13.07042082,5.116990764,2.1009022,1.728643136,3.75288789,0.370996829,2.497629591,2.497629591
9, AL,Huntsville,49.31772747,17.24803453,5.369424382,3.001499329,6.377206164,2.499904652,15.55124393,4.107981357,2.373672411,3.090107658,2.775317472,3.204165031,2.926433077,2.926433077,10.73994341,3.648827239,1.566112656,1.614836341,3.101002948,0.80916423,2.852072523,2.852072523
